@relation Try

@attribute description string
@attribute genre {Action,other}

@data
'full screen suggest submit week game jam theme spaceship smash togeth arcad space game concept result',Action
'ghost pilot shoot game releas snk hero fli old fashion seaplan order fight two power nation invad countri alongsid giant militari weapon mysteri combat unit arriv make intens battl aca neogeo seri faith reproduc mani classic neogeo masterpiec player chang various game set game difficulti also reproduc atmospher arcad display set time player also compet world high score pleas enjoy masterpiec built generat video game',Action
'abstract arena top action shooter game set complet abstract context differ ship clash arena take advantag uniqu balanc skill possess fast precis power gameplay easi learn hard master adapt mani play style thank varieti situat player brought encount differ ship uniqu abil challeng arena simultan minim stylish graphic soft sci music stereo sound effect differ gadget use dynam map move obstacl choos free team base match game mode play lan play local split screen multiplay full support like control achiev unlock support english italian french spanish german russian languag key featur abstract arena graphic bright color dri figur aesteth precis defin sharp line geometr shape give impress play within minimalist work art accentu atmospher inspir soft sci music track make perfect audio background mani sound effect give gameplay littl shake differ power give challeng new skill use gadget companion turret magnet field freez missil reflect shield mani special object enrich situat dynam map fill move obstacl avail host possibl fight endow differ background may thought possibl encount oppon within arena true fact player abl set free match team base battl well possibl almost infinit clash common also unfair brawl allow everyon know player make game fun need start local multiplay match least one standard control player fight togeth simultan display arena mode screen easili divid two half game also fulli support gamepad analog stick rumbl function better involv player action unlock new skin ship listen music track appli special graphic effect much complet differ achiev easi task harder challeng gain access extra content unveil everi secret game wait abstract arena born april let alberto murator take part annual gamemak italia forum game develop competit develop continu thank mani help provid kind peopl offer skill task main develop couldnt take care websit build translat team credici found group peopl name credici italian word two mean believ trust perfect describ collabor member adventur main role cover indiexpo italian portal indi game sustain presenc social media brought show game svilupparti afer year develop abstract arena final readi appreci steam communiti',Action
'abo khashem comed role play game awak middl nowher amnesia tri piec togeth happen trusti lizard companion two must uncov massiv conspiraci involv power monolith along way purchas properti manag hire staff decor home gain influenc bond shukman lizard explor danger dungeon custom fight style key featur comed multi genr singl player rpg open world handcraft intric dungeon interact charact live dialogu fun playabl companion custom combo builder talent tree system level stat progress uniqu boss fight busi simul interior design thrill mini game multipl collect side quest humor npc phone text system',Action
'shock trooper action game releas snk player take part rescu oper georg granddaught kidnap evil organ bloodi scorpion game featur abil player choos rout progress even replayabl titl aca neogeo seri faith reproduc mani classic neogeo masterpiec player chang various game set game difficulti also reproduc atmospher arcad display set time player also compet world high score pleas enjoy masterpiec built generat video game',Action
'fun besid young beyond get back futur fight mythic entiti mexican horror cultur charact abo mando abduct alien kidnap citizen around world differ age take dna sampl experi alien took back commit mistak left mexico help abo mando return futur inspir old school game modern element classic gameplay like mega vania type level increas difficult challeng badass boss get readi discov secret within game includ amaz guest special thank drinkbox studio terri cavanagh gaijin imaginari monster allow use charact abo mando mexican horror bit adventur',Action
'cross sword action game releas snk order defeat demon nausizz use weapon attack magic attack defend abil make way seven intens stage two player play simultan uniqu perspect buy weapon accumul gold charact also grow strength rpg like system aca neogeo seri faith reproduc mani classic neogeo masterpiec player chang various game set game difficulti also reproduc atmospher arcad display set time player also compet world high score pleas enjoy masterpiec built generat video game titl base mvs neogeo arcad version may differ version version home neogeo consol home consol',Action
'abatron galact domin control combat first build base troop command mode jump unit time first person third person mode confront enemi head unlock upgrad player abil build larg armi becom last player stand coop versus game mode play player bot abatron high action competit experi push player experi varieti strategi combin shooter mechan achiev total victori featur switch shooter command anytim play topdown view control larg battl click button jump front line truli get battl first hand switch back forth differ unit type realtim hero mode abil becom legend take unit play hero first third person mode hero special attack differ unit type find unit fit play style show skillz map base strategi greatest war mind learn use surround gain advantag enemi abatron strateg lure local dead alien critter help fight battl subdu critter queen gain control use awesom power enemi fortif cyborg demon experi marriag flesh metal haagenti race barbarian demon hord evolv bodi fuse limb technolog creat ultim kill machin level level hero level becom god battlefield gain experi combat level increas player damag attack speed build automat gain experi unit creat level build produc level unit etc solo coop pvp play solo coop pvp game mode player last one live free mode grab friend take evil haagenti togeth coop mode dedic server enjoy smoother game less lag dedic server run show plan featur new game mode team coop team pvp enhanc multiplay support player charact includ air unit map span multipl planet campaign stori mode command troop fps mode new race abil new skin mod support',Action
'shock trooper squad militari action game releas snk four mercenari risen thwart ambit massiv corpor addit main attack weapon jump abil vehicl also gameplay togeth branch path give player ultim freedom choos take stage aca neogeo seri faith reproduc mani classic neogeo masterpiec player chang various game set game difficulti also reproduc atmospher arcad display set time player also compet world high score pleas enjoy masterpiec built generat video game',Action
'abalyt roguelik metroidvania focus player skill invent game crutch progress system help player beat game abalyt opposit throw spike pit',Action
'find stori simpl crazi vlad lie bed imagin crazi journey given life imprison psychiatr hospit play head fact exist find what mind psycho see get strang fantasi sens fact need watch happen get head main charact featur pressur atmospher weapon various monster good graphic',Action
'absenc horror surviv game make question peopl thing around youv awaken bathroom know someon left main offic get help take look around navig area meet friend offic strang sens someth miss around rememb whos leav note get main offic park find miss miss top everyth els nois',Action
'sengoku side scroll action game releas snk order purg malici soul shinobi travel world defeat undead cut smash throw use weapon well ninja art ultim ninja art hyper action ninja game aca neogeo seri faith reproduc mani classic neogeo masterpiec player chang various game set game difficulti also reproduc atmospher arcad display set time player also compet world high score pleas enjoy masterpiec built generat video game titl base mvs neogeo arcad version may differ version version home neogeo consol home consol',Action
'long time ago mid world two big power mid world call light clan dark clan lord tossa emperor dark clan gather throng soldier declar war light clan power clash sky blood red princ sanpha journey self war mid world project develop process demo version',Action
'abzu classic adventur game action unfold endless ocean protagonist femal diver wake alon drift ocean surfac main gameplay aim explor surround world main charact find ruin trace ancient civil exist symbiosi world ocean outsid world react player action chang influenc howev necessari explor underwat world ground fragment also come play game despit simplic seren game danger form sea predat stori told without singl word silenc help creat uniqu atmospher peac tranquil reign world game mosaic game set complet implement game camera opportun look world eye fish need enter medit mode',Action
'old friend invit visit enterpris mani floor visit game like bind isaac explor floor find stair next floor floor find new weapon face employe enterpris game made communiti game jam theme game liar',Action
'import entri idea mac version work caus machin test game jank cant die enjoy',Action
'hardcor rogu lite action rpg possess play monster narrowli avoid death explor challeng ever chang dungeon possess bodi surviv',Action
'mundan day littl adventur game develop unrealjam play high school student experi incred adventur way school',Action
'look oculus rift version want base jump mac linux pick aaaaa awesom base jump float citi creat stunt delight fan dive skyscrap reli quick reflex negoti intric tangl girder make float citi eye judg mark score one hundr point hug expos strut fall thousand plant kiss side build twist turn thread needl two billboard earn cheer fan reflex import quick think get win one block away spot crowd protest decri sport make split second decis break cours stare straight eye flip finger explod burst furi judg absolut love bump first place make land without end loos sack broken bone featur level take citi float billboard build fli inch away side mountain uniqu game mechan allow creat stunt score give fan thumb point annoy protest rude gestur snag spray paint tag govern build extra challeng special medit mode help relax free anti medit mode help stop relax',Action
'roguelik item alway good realli work way',Action
'ever want dress pirat talk like pirat shoot like pirat make social accept put virtual realiti thingamajig show everyon whos boss mean buccan imagin captain sturdi pirat ship jolli crew imagin crew err made dummi angri dummi brink mutini put everyon place grab flintlock pistol readi face dummiest threat seafar career arcad bonanza rais aim shoot simpl get score everi man duh dummi plus bonus distanc headshot combo one stand anymor dont forget shoot back bullet sea sand unlock differ scenario mission base system play back whichev want cabin best best challeng real life friend beat score climb leaderboard unweari buccan pursu piratey duti get shini new achiev deed readi sea await',Action
'aarklash legaci take command mercenari squad search truth guid countless battl welcom aarklash land chao incess battl forc light destini dark last sinc begin time heart conflict group mercenari wrong accus crime lion alahan hunt convinc right intent fight enemi bitter end set forth epic adventur discov dark secret path strewn obstacl mani unfriend charact await battl fight life action determin destini aarklash inspir confront figurin univers aarklash legaci tactic adventur game player find heart intrigu control group charact lead battl across land alahan acheron behemoth final victori mercenari gain use wide rang power enhanc loot item manag via skill tree reset interact hero also import real bond creat game progress fun action await aarklash legaci key featur take part epic campaign mix adventur tactic combat follow rich storylin transport fantasi world aarklash thank activ paus system choos best tactic succeed battl time game dissolv team recombin choos charact avail numer intens battl make hero work togeth use group skill skill tree allow chang skill charact find best combin take full advantag possibl group whole take enemi various organ group also skill loot object enemi progress group throughout game',Action
'made tafe alpha end semest game jam play man top hat fight king scotland break stuff equip trusti sword either swing left right spin around deal enemi breakabl stuff eas control mous aimwasd moveleft click attackhold right click spin attack game made day end semest game jam tafe bug unfinish content found within current build plan fix might someday credit mitchel heath head design sound design anim model programm ewan zimmermmann head programm jeremi farrugia head model textur',Action
'short game play guess spider guess spider shoot youv guess',Action
'releas datepleas note releas date game novemb wrong date set store current rectifi error thankyou understand gamearriv world void colour job bring colour thing mighti colour canon fairground iceberg cover penguin deep sea find colour hidden around world colour heart content make everyth blue make everyth red make white made poissonroug interactica game studio known around world creator qualiti interact content small peopl',Action
'sidescrol without linear path action game tactic combat citybuild adventur game let free roam vast procedur generat world valley without wind defi genr stereotyp unlik procedur generat game also get logic progress difficulti plus help tip checklist guid travel need choos prepar face vast stronger overlord complet varieti mission earn new spell roam wild uncov secret mission stash magic craft loot custom charact uniqu combin enchant spell chang move jump fight rescu peopl bring back settlement sent dispatch mission dont carri burden fledgl civil alon choos play world adapt around key featur travel alon friend across ever expand world danger creatur power magic high technolog mysteri choic world environ procedur generat sandbox let anywher see includ right overlord keep time good luck environ endless save one contin overlord larger complex contin appear game adapt play demonstr profici monster mission upgrad accord kill bat okay time bat fire crazi amount charact custom combin multitud spell enchant equip creat special charact build play long line brave adventur question charact die charact die perman lost keep inventori enchant general progress game becom communiti leader rescu npcs settlement construct build improv skill mood send dispatch mission help return clever problem solver challeng one solut pros con get figur thing rather jump set hoop difficulti level give exact challeng want casual hardcor platform combat citybuild independ owner valley also get much improv sequel absolut free valley featur differ style focus non sandbox play game quit distinct one anoth choos price one',Action
'randi crow randi crow ordinari guy live ordinari life nice famili brother dog one night went gas station buy cigarett wit brutal murder station cashier time polic got alreadi late killer long gone randi guy around zatwor that took lock good prison took zatwor brutal prison countri help awar innoc randi decid run away way best secur system world juror help prove guilti',Action
'robot name fight metroidvania roguelik focus explor item collect take role lone robot task stop entiti known megabeast explor procedur generat labyrinth uncov random power artifact find secret blast meati creatur delici gori metroidvania millennia peac pass sinc mechan god ascend left lower order robot cultiv world unfortun left behind someth forgotten terribl stir amidst star megabeast pulsat moon size orb flesh eye mouth reproduct organ unleash children onto world like unstopp plagu explor procedur generat labyrinth billion uniqu run prove worth true permadeath take menac enemi solo friend via local adapt differ item set everi run uniqu item complet achiev unlock new content play use favorit control enjoy unreason amount meat',Action
'aaaaaaaaaaaaaaaaaaaaaaaaa awesom indi base jump simul game develop dejobaan game gameplay awesom remast origin game aaaaaa reckless disregard graviti gameplay chang whatsoev main object player jump high build avoid obstacl smash color window success land design area use parachut player gain point fli close build refer kiss stay close call hug player also abl gain bonus point spray paint build interact fan insult protestor even hit bird award player small number point game featur rate system evalu player perform better player perform game currenc call teeth award teeth use unlock new level mode new graffiti item gestur game also featur leaderboard player compet remast version game featur refin graphic new expert difficulti level new level well level origin game version also support virtual realiti headset',Action
'control requir control dual analogu stick requir play aaero xbox one playstat dualshock etc gamespe stun stylis environ trace ribbon light releas energi music battl strang enemi fight epic boss battl driven incred licens soundtrack independ micro studio mad fellow bring uniqu innov game featur music noisia flux pavilion kati prototyp neosign mani control dual analogu stick requir play aaero xbox one playstat dualshock etc',Action
'war demand sacrific peopl give suffer return freder clemson howe idea rise bond born narrat driven game third person adventur surviv stealth element set mid centuri eastern european countri devast war alex year old must surviv journey meet erika girl must protect care also help way game aim show raw war perspect survivor disadvantag world relationship form two charact play demo control keyboard mous',Action
'first ever game took develop small term content though cours feedback great ultim welcom need import found bug point credit graphic sprite kenney asset explos unti game sound nengisul josepharaoh robinhood flashtrauma ddragonpearl featur playabl ship mission play dont pickup powerup find play approach mission rate base collect play use mous aim left mous shoot wsad key move around dodg hope enjoy',Action
