@relation Try

@attribute description string
@attribute genre {Adventure,other}

@data
' buy ultra minigolf adventur imagin collect wacki miniatur golf cours get readi tee quick fun match putt way crazi hole minigolf mania creat custom hole design challeng friend buy full game practic power swing refund item inform see www xbox com live account ',Adventure
' puzzl solv second solv made gamemak game jam thank play puzzl second game made gamemak anniversari game jam play use arrow key enter navig menu use mous left mous button interact puzzl second solv puzzl succeed advanc run time lose progress must start usual develop crashrock ',Adventure
' compass goal clear level color one slide match pair togeth care get move per compass direct game develop bennett bernardoni gmtk game jam ',Adventure
' american dream start behind wheel big rig north america open road await work man owner truck busi call shot build empir one rig time domin roadway outbid competit handl pressur american dream start behind wheel big rig bid may best man win take compani bid job move lose valuabl time rememb profit king haul start behind wheel transport type cargo includ livestock chemic mobil home cross countri bring big buck handl beast drive back load dock manag fuel maintain truck peak condit domin move better faster competit build reput coast coast long haul across state canada mexico grow build busi add rig fleet mammoth machin trailer ',Adventure
' legendari hero hercul wife megara back readi embark next adventur god outrag defeat summon fearsom beast match hercul god like strength beast trampl countrysid turn lush garden desert wasteland restor world beauti use everyth dispos megara magic abil even fire hydrant team friend alli like king mida epeius famous trojan hors save mother natur destruct ',Adventure
' hour chang world altogeth gate hell open citi yesterday sun shone life throve drown dark demon swarm street forest field fear atroc reign peopl captiv demon unfrighten marin manag escap decid face horror return light world save peopl smg fight full dark tipto stealthi avoid demon attent way dark forest dungeon center citi evil dwell defeat evil save peopl ',Adventure
' simpl vertic shooter made month surviv wave enemi upgrad plucki littl ship level across differ stat damag fire rate shield powerup chang colour dodg enemi deal damag foe damag dealt colour bullet match enemi ship goe player though care ',Adventure
' orbit local multiplay game peopl matter play read laptop even tablet probabl everyth need addit control support requir unless prefer littl elbow room game set second even player round take minut orbit friend competit littl chaotic simpl enough quick teach group play vari deep enough keep entertain long time choos game mode two team one focus differ playstyl adjust number player start small add player come along featur competit local multiplay everyon anywher anyth vast differ game mode choos setup take second even player basic mechan simpl taught group quick yet provid lot room masteri competit one switch access game mode arena fill arena sphere color avoid oppon bullet hell game constant grow intens multibal team kind like footbal explod goal multipl ball chang color time trail collect sphere grow longer oppon block path pay attent player tri keep distanc fling sphere blizzard team defend whole shower sphere send right back came faq keyboard touchscreen support input time even work yes orbit need one button per player never requir button mash keep button press make high unlik mani button ever press frame even player partial control support mean play couch big pictur mode game control entir gamepad press enter skip launcher say full control support sorri colorblind mode yet unfortun depend type colorblind play player difficult time avatar identifi color fewer player suitabl set color select proper support partial color blind plan unavail goe right sinc one button game also support one switch input yes includ menus inform found ',Adventure
' groundbreak motion control footbal game draw play call shot throw hand run ball clock run throw like pro realist motion control first footbal game kind playstat draw play hone strategi custom offens play take field featur uniqu team custom color voic rout color fight song hit field immers stadium fill thousand scream fan larger life celebr call shot field use digit command voic control excit arcad present featur round heat rapid fire bonus round massiv increas endgam score playstat pro support higher textur fidel increas shadow detail faster load list goe spectacular replay challeng platinum trophi support leaderboard unlock player playstat requir playstat camera requir move control requir softwar subject licens playstat com softwarelicens onlin featur requir account subject term servic applic privaci polici playstationnetwork com term servic playstationnetwork com privaci polici one time licens fee play account design primari system system sign account truant pixel llc ',Adventure
' buri competit ride like pro discov secret jump combin within track master physic motocross high speed race adventur supercross new offroad race experi creativ team brought popular hit motocross mad atv offroad furi unleash rhythm base race game easi pick play ever increas challeng keep zone hour blitz way care craft doubl tripl treacher whoop custom track design motocross champion stephan roncada believ play palm hand supercross featur liquid color graphic fulli interact physic surround sound authent engin record particl effect project shadow light share game friend creat five independ profil iphon ipod touch see trailer www xlgame com supercross key featur supercross freestyl track design motocross champion stephan roncada mode play time trial practic race ride bike select appear hundr differ bike rider combin automat adjust number oppon optim perform devic camera view includ first person handl bar select preset control scheme respons tilt steer interfac tunabl sensit adjust level difficulti statist track web base communiti rank comprehens game help check race offroad ricki carmichael motocross matchup ',Adventure
' welcom everyon slaughter street crimin run find evad polic make escap alley see old fire escap scrambl roof abandon build safe patrol car drive past slip shadow coast clear got away way back toward fire escap roof give plummet dark wound equip die flashlight must escap build twist ankl bust flashlight middl one man great casualti progress price pay avoid polic smell death stench frustrat success fester old hope shuffl rise infinit dark rat big rat stray dog squatter els hope find must forth determin enter gape maw obsolesc must exit get exit heart pound anxieti induc paranoia paradis slaughter street like complet uniqu set control limit mobil player must wit get exit swift ',Adventure
' descript doom sidescrol shooter base doom main mechan transfer game glori kill perform press enemi low health tint red glori kill foe earn point health fun kill alien control wasd movespac jumppoint click shootwhen enemi low health glori kill credit program design carpenterartbackground other carpentersoundsglori kill effect flyer ',Adventure
' goal make way citi defeat evil blob ',Adventure
