@relation Try

@attribute description string
@attribute genre {BoardGames,other}

@data
' celebr year anniversari join million fan play game sinc blue block challeng fun puzzl game come puzzl differ level difficulti age skill year old featur appl award winner rank top app mani countri welcom world blue block ancient time world rule light shadow blue dragon last kind dark knight made prison surviv dragon hand must free bring back balanc earth warn quest hard dark knight becom immens power rememb hope defeat forc use strategi logic success complet goal propheci tell one day hero succeed quest solv puzzl enjoy journey rule goal game move blue block grid move block way featur uniqu puzzl contain singl puzzl doubl puzzl pack differ complex high qualiti visual automat save resum game hour gameplay follow twitter aragosoft aragosoft inc ',BoardGames
' get incred addict puzzl game everyon talk creator woodi block puzzl come new cube block break rule start easi get challeng fast beat game invent puzzl game woodi cube test wit push boundari classic block puzzl game engag escap boredom stimul mind fill grid board varieti block shape full effect tri get highest score best block puzzl player gain rank show skill stay top list journey bound mind blow contact support athena studio need help follow get news updat com woodypuzzl fun play woodi cube ',BoardGames
' play tap screen jump doubl tap doubl jump save obstacl collect diamond diamond use unlock new charact far enjoy ',BoardGames
' truli enchant jewel puzzl adventur arabian night atmospher featur unlimit energi unlimit play addict level stage complet free play internet connect requir juici graphic fantast effect easi fun game kid elder enjoy relax jewel match enjoy challeng puzzl help train brain critic think support languag tablet devic play level mission unlock next level connect ident jewel crush jewel connect jewel creat special jewel blast connect jewel ultim jewel hunter magic effect tri strategi make simultan crush use free boost item challeng mode warn may caus addict beauti jewel play game support indonesian bahasa malay english deutsch fran espa arab portugues turkish italian game accept purchas item partial purchas item addit cost could occur limit consum right defens accord item type offici site fan page facebook mail help superbox ',BoardGames
' play live video bingo game free kid bingo bring experi play bingo friend anytim anywher download kid bingo today kid bingo featur live video bingo live kid caller varieti fun mini game becom champion leaderboard play chat game like trivia free chat player make friend around world connect facebook play differ devic bingo top bingo way huge win collect achiev becom leaderboard kid bingo communiti chat play player around world free receiv gift friend play mini game bingo doubl chanc win coloss jackpot select entertain mini game like scratch card pull tab slot money wheel rapid bingo dice play bingo play game chat play trivia free chat win boom buck cross platform play connect platform account play anytim anywher like www facebook com boomgamingcommun follow www twitter com boomgamingnew watch www youtub com user boomgamingvideo miss miss fun excit bingo game charact bingo bingo keno beach bingo get game platform intend adult audienc entertain purpos game offer real money gambl opportun win real money prize practic success social casino gambl impli futur success real money gambl ',BoardGames
' five suit connect former name five crown onlin card game base five crown game set enterpris inc turn base card game whole famili play onlin play game play famili friend someon new around world match end round play onlin play also featur game messag interact oppon five suit connect also play offlin singl devic other comput oppon object obtain lowest number point play eleven hand game game consist two card deck rang king suit addit joker deck first round card dealt player round card reshuffl addit card dealt player continu player dealt card last round turn start either draw card deck pick top card discard pile turn complet discard one card player meld book run turn player meld card hand open player abl open remain player one last turn player pick card lay card meld book run remov card hand remain card count point round player goe first round rotat play continu eleventh hand king wild player lowest score win ',BoardGames
' take favorit hasbro game five differ game enjoy potato head charm host famili game night hour fun whether play friend even creat custom play area unlock trophi avatar famili game night guarante good time matter featur play classic new version favorit hasbro game includ battleship connect oper bop engag friend competit via wireless multiplay keep track victori game share play friend even game unlock choos varieti avatar custom play space ',BoardGames
' final jump battl new pvp game design strateg color war first kind object well color tile coars spend best round color tile attack enemi unit player round win color war featur varieti social aspect guild battl everyday est player clan option join clan battl complet top end week top guild rank receiv reward battl add friend play privat game trade card even messag creat group chat invit friend upload favorit pictur chat custom custom complet gamer card way want choos favorit tile color custom color play game custom chat bubbl color messag game chat choos favorit profil pictur border show world set playabl deck way unlock new unit chang motto let know think game featur game chat rank system show skill gem multipli multipl game row increas multipli spectat friend request privat match view leaderboard view top player daili week month time customiz tile color attack explos color store two currenc use gem rubi use gem unlock new card rubi earn dismantl extra card use rubi custom motto border profil pictur tile color even chat bubbl varieti unit differ type unit choos type tyrant tactician sage mercenari hunter barricad rogu magician guardian artilleri uniqu tile pattern differ rariti unit common rare limit one kind player collect featur redeem special code special event dismantl extra card may longer need chat filter prevent use mean hurt inappropri messag chat chang chat member name pin chat top list chat turn disturb chat prevent annoy achiev daili week challeng complet complet challeng earn gem rubi daili spin extra gem rubi game support differ languag ',BoardGames
' offici game app back maker popular game challeng facebook friend oppon around world compet real time match play goal make number use four number card solv solv card simpli tap number slide two number select desir oper add subtract multipli divid number use yes least one solut card card multipl solut difficulti three difficulti level shown dot corner card dot card easi dot card medium dot card tough strategi choos one number card turn three number need exampl tri make common pattern make look number independ two pair exampl card add make divid featur multiplay compet facebook friend oppon around world head head challeng solv card faster win card earn point whoever win point win challeng point dot card worth point dot card point dot point reward climb leaderboard view global rank match friend earn new achiev view stat singl player hone skill practic difficulti level long want tri beat best time see averag respons time learn game visit websit follow facebook twitter game stay loop enjoy game pleas leav posit rate review app store let know better info game com ',BoardGames
' appl made car would still window type peopl world understand binari bag laugh allow compet other use repertoir joke expand joke knowledg bag laugh play number player aim game think joke contain random word provid start tell joke within five second choos shown clue still struggl choos see full joke award three point think joke without clue one point think joke clue zero point choos show full joke app track score one player reach target score select start game ',BoardGames
' card thief solitair style stealth game play deck card german develop award best game design german game award best mobil game card thief move deck card stealthi thief sneak shadow extinguish torch pickpocket guard steal valuabl treasur without get caught card thief offici follow tinytouchtal excel dungeon crawler card crawl attempt condens classic stealth genr solitair style card game game offer access core gameplay deep layer tactic plan various risk reward mechan top differ heist test skill various enemi trap type success complet heist unlock upgrad equip card uniqu abil improv highscor featur solitair style gameplay heist differ enemi obstacl type unlock abl upgrad equip card hire thiev uniqu gameplay rule mini deck build daili heist global highscor deep tactic plan fan stealth genr min playtim per game visit www tinytouchtal com www card thief com ',BoardGames
' use brain cut chain find way bump dishevel ball fall love game know work featur free play play anywher anytim suitabl age fun tastic level enjoy ',BoardGames
' break ice snow world tile match puzzl game object game move one ice blank space swap adjac ice form horizont vertic chain three ice easi let play break ice arrang ice clear level pass turn finger icon note app contain banner interstiti app sell app product mail contact xlsoft homepag facebook enjoy break ice snow world thank ',BoardGames
' age solitair citi build card game base klondik solitair rule solitair game anyon enjoy easili bit challeng fun build citi play solitair game enjoy excit complet card stack new citi build solitair various civil era familiar addict card game age solitair classic klondik solitair game anyon enjoy enjoy joy construct various citi proven fun offlin mode avail overcom crisi help item use undo item make mistak use hint item find next move open card item lower difficulti level shuffl item let shuffl unopen card caution delet app game data delet togeth ',BoardGames
' flip block new twist classic fall block game play challeng squar block clear line get highest score time pressur game tap rotat drag drop jewel shape shape drop classic mode rise mode hard fun master get higher score addict game train brain featur unlimit level classic mode classic casual mode play casual without block hardest shape zen mode play small area without rotat super power magic flip undo power gameplay tap block rotat drag drop stack block fill clear horizont line block time pressur basic shape advanc shape jewel shape choos logic one turn drop block hole download free compet friend game center ',BoardGames
' basic freecel solitair trump game freecel card game play collect card order accord mark place call homecel organ card hand tabl util four space call freecel card place tabl face upward eight column choos card top column card stack becom altern black red mark order temporarili put card space call free cell upper left red black card place altern order move total number card obtain vacant free cell plus time two free cell vacant move three card four free cell vacant move five card time four free cell occupi move one card move card ascend order game clear ',BoardGames
' design veteran behind classic game chip challeng come chuck challeng fiendish addict puzzler pack featur teas brain challeng finger also come level editor let upload share level everyon play rate within game chuck challeng includ four differ game mode play level best time publish onlin creat level game element share world search download level creat player week puzzl play best user creat level week meet woop everyday puzzl lovin purpl alien capabl alter time space woop summon round puzzl game legend chuck sommervill one purpos creat univers puzzl work way take control woop help navig way level level obstacl challeng stand reach exit portal shift block find key flip switch wade water hot foot lava everyth take make one piec evad armi hungri creatur want noth turn purpl hero nice tasti woop sandwich ',BoardGames
' color theme decor surfac beauti doubl tap exchang color theme rapid join number get tehe tile start swipe move tile two tile number touch merg one get tile reach high score ',BoardGames
' cribbag blitz mix solitair cribbag perfect way practic cribbag skill train brain pass time play real peopl free switch cash game readi compet win play play one deck card score mani point count everi hand crib toward score peg point uniqu head format get count everi score move care count miss anyth score muggin penalti multiplay solitair game play head head player larg multiplay tournament player solv deck player finish point win challeng peopl around world skillz competit platform complet leaderboard trophi cash virtual currenc prize amaz loyalti program reward play cash tournament avail world cash tournament enabl follow state live cash enabl region still play free question feel free reach info tetherstudio com question skillz system cash tournament pleas contact support skillz com ',BoardGames
' facebook com jawak jawak lead social platform card game mena region offer chanc play baloot heart content free charg invit friend play onlin carri fun wherev challeng pros baloot competit start exclus game chat complet privaci join communiti million player around world play anytim without hassl look player play card deck jawak set ultim atmospher get fun play card gain friend baloot game play applic enjoy array excit card game offer jawak saudi hand tarneeb trix complex partner jackaro estim join daili competit stand among card game profession jawak complet free play onlin play real peopl anytim want game chat featur ultim fun personalis profil pictur facebook account follow facebook page get latest facebook com jawak cheer jawak player game ',BoardGames
