@relation Try

@attribute description string
@attribute genre {Educational,other}

@data
' deer creek homophon adventur educ text adventur student age year well introduct text adventur produc tool help teach primari school student homophon deer creek creat use chris ainsley excel adventuron classroom system adventuron incred easi use modern adventur write system allow author age make classic style text adventur game produc use tool play web browser mobil devic without need addit softwar fan bit text adventur version spectrum also avail see download ',Educational
' learn countri world rememb australia india ever seen japan china locat canada mexico learn countri world game definit best geographi quiz game steam less player manag win game like geographi trivia app use kind help show region world countri show shape countri geographi quiz countri world level global leaderboard hint system simpl intuit control sourc knowledg countri trivia great fun game show imag flag name search countri game ask locat exact right countri fast get right answer get bonus finish one level get access next level featur easi play hard master easier mani geographi quiz game great entertain educ content guess countri use hint watch shape countri look know home countri famili live countri download game internet discov countri world game perfect want improv geographi skill exercis brain get countri memori probabl one best free geographi quiz game app mobil tablet play home quick complet level get perfect score star game help learn countri world fan geographi love explor challeng geo puzzl graphic rather map decid make better graphic interact globe awesom amaz planet experi realli similar googl earth googl map zoom sound music game excel sound beauti music danish audiodesign mikkel rohd challeng test knowledg countri world peopl live world learn differ countri translat game mani languag english portugues chines russian croatian serbian french italian spanish czech arab teacher school use import tool supplement tradit book studi train student geographi game especi design make student expert geographi ideal teach learn addict student wont get bore great game boy girl age want know specif countri tri googl look wikipedia review score tri improv person result social multiplay featur like leaderboard competit learn race time get highest score beat player friend global public onlin leaderboard impress friend becom famous fast get highest score purchas game store get extra featur includ full access level remov mani countri region world america asia africa europ oceania like korea portug iceland america franc germani philippin mexico thailand colombia chile egypt itali brazil switzerland spain england taiwan ireland greec netherland norway romania finland uruguay thai poland algeria unit state hawaii miss excit opportun improv geograph knowledg children kid adult enjoy game link facebook page geographyquizchamomil like share pleas question feedback hesit contact via email ask ',Educational
' updatedw excit announc releas driver fusion releas introduc mani communiti suggest featur along sever chang find announc also follow driver fusion steam get notifi updat softwaredriv fusion complet devic driver solut manag monitor devic driver instal uninstal driver driver fusion includ abil backup restor download driver eas effortless health check includ automat driver updat updat outdat driver instal miss driver let scan fix detect issu quick furthermor disabl enabl restart devic window run cloud power remov engin delet driver entri left behind normal uninstal especi use updat driver chang devic addit driver fusion help identifi devic window recogn generat devic driver report backup restor desktop icon screen resolut read sensor valu devic driver fusion provid inform need know devic driver allow detect solv problem simpli find comput specif one place get start today take advantag wide grow rang featur driver fusion offer keep run effici effect possibl tri driver fusion download demo free unlock premium featur purchas demo featureshealth check health check help keep comput date automat find latest driver driver famili driver famili enabl delet softwar driver entri file registri key instal vendor instal desktop desktop help backup restor desktop icon posit resolut screen filter filter enabl creat new extend built driver famili detect softwar driver entri instal vendor instal histori histori allow view restor oper perform process assist automat stop block process servic assist driver famili local interfac avail differ languag english dutch german japanes spanish russian vendor support wide vendor support includ amd ati asus intel nvidia logitech microsoft marvel realtek creativ premium featur demo featur plus devic control devic control view manag devic driver instal comput check work proper view devic driver inform possibl need troubleshoot includ use reserv devic resourc use driver file also use devic control instal uninstal driver disabl restart devic scan hardwar chang health check everyon want comput reliabl run smooth health check analys comput health help easili fix detect issu outdat miss driver help keep comput date automat find instal latest driver automat driver updat onlin driver databas constant updat ensur access latest driver version new driver often improv stabil perform fix exist problem introduc new featur health check also creat backup instal driver driver backup use easili revert previous version instal driver automat reinstal window devic identifi discov unknown devic yellow question mark system usual mean window recogn devic wrong driver instal know manufactur devic unabl locat requir inform devic identifi identifi type name manufactur devic search ever expand devic databas devic identifi immedi search onlin discov inform driver backup onlin instal updat window like invest consider amount time energi find correct driver either use driver backup creat backup exist driver first reli driver onlin download instal driver devic eas ever expand onlin driver databas featur also help encount problem comput devic want revert updat driver anoth version system protect system protect featur creat save inform comput system file set inform save restor point restor point automat creat key chang made system remov driver use restor point system restor help restor comput system file set earlier point time system protect alway decid back previous system configur even save desktop icon resolut enhanc remov mode ever tri delet driver famili entri might notic usual sever entri left behind free version driver fusion abl delet file directori registri entri current protect lock use oper system user program reli driver fusion premium automat take sever addit measur safe window procedur delet entri ensur driver famili leav absolut trace behind monitor monitor give insight sensor devic instal comput power usag temperatur clock speed monitor sensor inform processor graphic card motherboard hard drive fan major devic intel amd nvidia support devic sensor monitor devic support continu grow time report report featur allow generat report system mainten action report provid easi read format design view print use web browser report featur also ideal analysi easili use paper document system report perfect creat remind origin configur share system specif other top prioriti support provid support two languag english dutch user around world driver fusion premium support issu given top prioriti well featur request might best treexi charg extra support cloud driver databas cloud power databas provid flexibl power featur signific improv analysi detect driver famili entri clean process give direct access possibl new driver famili entri instant without wait next product updat perhap best driver fusion automat upcom featur upcom featur deliv complet free charg custom ',Educational
' ideal afford graphic tool bud develop ideal independ develop high afford base digit art packag pack real punch deliv everyth need creat stun art terrain digit paint multipl brush type natur media brush particl brush foliag brush custom imag anim brush huge collect filter capabl includ elev map base terrain generat global illumin ray trace cpu gpu artist part wider suit project dogwaffl creativ digit tool deliv solut need abil budget complet famili particl basic entri packag offer simpl art creation tool artist creat stun art terrain howler includ everyth artist particl plus anim video ',Educational
' paint make fun excit design bin weevil arti arcad fun experi vast array amaz brush effect incorpor photo design paint squirrel tail eleph trunk put friend famili wash machin spin world around desk fan even take trip starfield collect humung assort imageri tool invent amaz vibrant design turn incred select printabl gift mask tattoo shirt transfer much much realli let idea run wild across page use photo friend famili send card special occas custom design alongsid favourit bin weevil charact featur explor bin weevil univers along favourit charact invent amaz imageri use hundr background charact nest item turn imag awesom printabl gift includ shirt transfer mask greet card tattoo much much experi incred brush paint eleph trunk balloon anim gung amongst mani mix amaz colour lab lab use music paint jar creat amaz imag insan effect put favourit charact wash machin creat bedlam desk fan feedback effect ',Educational
' make sure python updat log version august game releas ',Educational
' save pizzeria help alex camilla save famili pizzeria build communiti garden citizen toon york citi enjoy educ adventur age social emot learn merg vocabulari number shape puzzl open world cartoon adventur toon york citi game principl micro transact sneaki track loot box subscript push notif facebook nonsens pleas note game earli access releas novemb continu updat game multipl time week feel free send feedback join discord chat would like help test add new featur etc educ gameplay toon york pizza serv custom shape pizza order build pizza custom pizza cafe word learn spanish english vocabulari spell explor garden open world explor singl player cross platform multiplay explor toon york citi build communiti garden friend famili exchang veget neighbor bite size stori written sarah tode puzzl written tatiana godfrey chapter save pizzeriachapt slice mamma rosachapt make garden grow song danc five origin song jason trachtenburg full band vocal record cast star kyndra sanchezkevin chaconkarina ortizjonathan fortecarla nagergordon silvakevin farley ',Educational
' enemi gallic kingdom run water yet continu thrive thank aid alli kingdom spi armi rome must infiltr enemi kingdom relay see hear happen back armi must translat observ back latin aid kingdom deliv inform relay thwart arriv shipment reduc enemi kingdom rubbl conquer rome rmmv project knowledg latin declens requir ',Educational
' clickteam fusion latest famous rang game creation softwar clickteam come complet free edit contain editor interfac clever idea made previous titl success anyon budget start develop power game app free discov simplic design game app mous charact level design program everyth done visual read program fusion countless game made clickteam fusion predecessor versatil simpl power fast download free copi today discov give tri amaz featur origin drag drop program tool make first game hour need previous program knowledg easi use intuit physic engin origin world famous event editor make program breez use profession student alik shader effect avail insert asset easi drag drop complet creativ flexibl hardwar acceler game app outstand friend communiti supportupgrad standard enjoy addit featur add window execut build type access addit export like android avail dlc add function project parti object limit frame event line includ event list editor easier debug use alpha channel emb binari file moresteam game madewithfus ',Educational
' high speed recycl game test user knowledg reflex arrang wast proper deposit move centerpiec branch tube chang trajectori twitter page ',Educational
