@relation Try

@attribute description string
@attribute genre {Puzzle,other}

@data
'million download count simpl game split shape half get shape sound pretti easi right well youd surpris especi shape outlin countri sport equip tool food ink blot get idea addit spin mode puls mode plus arcad endur got speed accuraci succeed testimoni perfect pick play game addict girlfriend happi haha top chart game poland lithuania itali romania new zealand load thank help far determin make game better better music ben sound',Puzzle
'game half full glass fun simpl play level cutest cast pictur yet challeng get perfect reward level free puzzl game suitabl age fun relax guarante play slice turn line till think get shape cover get close youll reveal detail shape get star get least star next level tri get better result set line youll get perfect featur free play play anywher anytim suitabl age cute imag hide shape find worth replay get perfect',Puzzle
'onlin interact rate esrb readi beat drop fusion rhythm puzzl creat complet new kind battl drop piec along beat win explos chain purchas full version play mode stage also uniqu beat matic function analyz song use game way fun beat drop endless feel rhythm battl refund item inform see www xbox com live account',Puzzle
'new wonder take fantast journey enchant site ever dream team master builder match color rune collect build block need camelot dorado atlanti shangri mani other build wonder unlock magic locat nazca valley make bigger match unlock power help gather resourc even quick complet wonder add team builder fulli assembl crew guild worker dust match make know charm trip wonder magic mysteri tour key game featur magic locat explor camelot dorado atlanti bimini fountain youth citi caesar shangri valhalla bonus wonder unlock complet guild worker crew master artisan addict rune match game play hour fun bigger match give bigger power fun mini game extra challeng',Puzzle
'browser playabl version left game fit web much power left youv long time inner clock broken time leav place must choos wise function youll use escap either move listen see what ahead around good luck art kenney',Puzzle
'rat player puzzl game must control rat get end citi',Puzzle
'dice challeng logic puzzl game without time limit neither color match match repetit kind educ improv calcul abil brain boost dynam dice differ type puzzl game ever seen block dice encount number like sudoku game believ addict popular game make editor choic soon dice strategi game like chess well new sort domino even categor puzzl game piec mani kind game like action adventur board card casual educ race strategi game math game physic game drag dice onto board combin dice make total line vertic horizont combo clear board give extra point quick mode high competit target get higher score better rank leaderboard take journey adventur mode face lot surpris way improv skill beat challeng featur addict excel dynam control gameplay inspir graphic sound deserv innov award bomb booster rewind button rotat dice use handl difficult posit compet friend quick mode see rank leaderboard want strategi instead adventur mode auto renew subscript subscript option follow subscript option game week diamond membership offer week subscript day free trial remov subscript period subscript also provid unlimit life coin doubler unlimit rotat coin day end trial subscript renew price unit kingdom custom price countri may vari actual charg may convert local currenc depend countri resid payment charg itun account confirm purchas subscript automat renew unless auto renew turn least hour end current period account charg renew within hour prior end current period identifi cost renew subscript may manag user auto renew may turn user account set purchas unus portion free trial period offer forfeit user purchas subscript public applic cancel trial subscript turn auto renew subscript whenev want itun check current trial subscript period expir unsubscrib current activ subscript period cancel subscript expir longer abl use element includ subscript option question comment feel free contact info oak technolog',Puzzle
'educ puzzl game develop anytech came anytech publish game play classic macintosh',Puzzle
'anoth clone game dos use wdsa move board reset game esc quit platform dosgenr puzzlenumb player full sourc code borland tmt free pascal compat',Puzzle
'tini maze game must activ four mysteri orb unlock exit escap labyrinth room navig though way might seem obvious first never fear possess uncanni abil rearrang room scroll row column keep eye meddl labyrinth goblin though control follow left right arrow movespac jumpx scroll columnsz scroll rowsr restartesc exitf toggl fullscreen window arrow indic row column move scroll first game feedback welcom made part gamemak jam',Puzzle
