@relation Try

@attribute description string
@attribute genre {Shooter,other}

@data
' made gmtk game jam crystal axi third person shooter tri surviv endless wave enemi howev choos one axi movement time ',Shooter
' aether lanc wield power aether drive hord ratmen back bowel earth came last archer silver order rig let fli magic arrow aether credit programm hunter fox kevin caton largent level design murat dugan xuemao artist branden bailey chenxin lou nadin abdelazim sainan zhu music sound effect branden bailey brian bailey instructor bryan jaycox jeremi diamond ',Shooter
' space soldier earth invad group alien stop alien earth movement resourc manag key stop hold line reinforc arriv control throw rocket deton rocket space jump toggl jet back boost land charg boost shift sprint fast movement left click attract asteroidright click push asteroid hint line asteroid trajectori elimin enemi ',Shooter
' develop use tutori complet playabl unorigin equal nick main riff song breaker song bear wood ',Shooter
' blast bunni collect coin upgrad weapon defend burrow onslaught pick use carrot rifl pelt furri hide watermelon pip machin gun wreak havoc runner bean laser want destroy mani possibl turnip mortar maximum splash damag crafti cottontail come shape size even fli need everi weapon armouri deal barbar band bitter bunni becam evil came taught fli remain mysteri time ponder rabbit riddl grab favourit weapon blast bunni shoot coin collect spend new weapon upgrad ammo type boost health jump neat new arena customis bunni look dlc arena skin pack long last surviv mode mani bunni kill slaughter mode grab trusti carrot rifl watermelon machin gun turnip mortar runner bean laser find surviv mode difficulti easi normal hard hard slaughter mode normal super ultra complet ',Shooter
' pleas consid donat help progress develop project technic note soldier current non exist build run loop alien bug attack outsid vehicl small bug menu show control yet pleas look instal instruct control list game descript codenam bueno air offici titl code name game take place dystopian sci futur govern major tech compani join forc creat socialist authoritarian allianc censor manipul control societi individu look upon group think prais reward technolog use align thought whim establish globalist war hawk use eugen gene splice genet engin creat abomin push agenda attack valu brought western world promin attack come power within play resist organ militari throughout transit defend individu freedom citizen current wave totalitarian among brainwash group think influenc govern media tech long day yesteryear will die get freedom back otherwis point live empti control life control player control quit game reset chang set escap menu open cycl camera tab forward back left right jump space aim look mous zoom toggl night vision toggl shoot left mous button mous throw grenad place mine enter exit vehicl rang flashlight toggl overhead mini map toggl reload play anim point infinit ammo demo cycl weapon play anim point infinit ammo demo airstrik target right mous button mous must hold posit littl second move interrupt laser target acquir hear tone confirm vehicl control forward revers left right brake space headlight cycl low high beam ',Shooter
' alpha betta shooter often reli spray pray alpha betta ask play one projectil know keep betta fish per tank parent let watch highland earli art jack tolmachoffcod izaak sulka fish fact mikalya nelson music watchthisspac liv cat chuuno sound effect zapsplat com bubbl particl moonflow carnivor special thank gmtk host game jam karian breden feed hungri artist ikran true alpha betta thank play ',Shooter
' use combat assist tactic sentienc defeat enemi solv puzzl track target creat week epic megajam gamepad high recommend gamepad control left thumbstick moveright thumbstick aimright trigger fire suppress rifleleft bumper launch left catright bumper launch right cati recal cat keyboard control wasd movearrow key aimspac bar fire suppress rifleleft ctrl launch left catleft alt launch right catz recal cat ',Shooter
' join strong battlefield communiti jump epic battl great war critic acclaim first person shooter battlefield revolut complet packag contain battlefield base game experi dawn war battlefield discov world war adventur fill campaign join epic team base multiplay battl player fight infantri take control amaz vehicl land air sea battlefield premium pass four theme expans pack new multiplay map new weapon battlefield shall pass battlefield name tsar battlefield turn tide battlefield apocalyps red baron pack lawrenc arabia pack hellfight pack remot play requir vita system suffici robust connect onlin featur requir account subject term servic applic privaci polici playstationnetwork com term servic playstationnetwork com privaci polici player network player full game requir playstat plus membership access onlin multiplay minimum save size dualshock remot play onlin play option softwar subject licens playstat com softwarelicens onlin featur requir account subject term servic applic privaci polici playstationnetwork com term servic playstationnetwork com privaci polici one time licens fee play account design primari system system sign account check www battlefield com game battlefield premium often detail releas date expans pack electron art inc logo battlefield battlefield battlefield logo trademark electron art inc weapon vehicl gear manufactur affili sponsor endors game condit restrict appli see www battlefield com disclaim detail ',Shooter
' bomb doll endless gay road trip apocalypt wasteland player eat burger pop pill slam soda inhal donut collect lost soul trade cute outfit kiss girlfriend share life energi fend enemi navig minefield outrun storm tri explod featur music ada rook rook nomi black dress turn music volum want kid hear swear game requir control combin playstat xbox switch pro joycon support make sure comput support switch stuff particular weird realli made mac sure download demo tri find girlsoftwar com girlsoftwar ',Shooter
