@relation Try

@attribute description string
@attribute genre {Simulation,other}

@data
'manag major intern airport duti rang plan alloc personnel procur maintain vehicl fleet facil mainten handl ever larger aircraft varieti airlin first work later train staff certain job fuel posit jetway manag baggag wagon secur buss fire fighter keep watch eye everyth keep oper peak perform gradual earn experi airport grow new runway gate larger plane arriv time rest featur huge realist airport airport grow experi runway gate build detail aircraft vehicl personnel manag train simul damag vehicl personnel injuri sick leav intellig assist drive everi vehicl',Simulation
'airport ground crew simul simul game develop excalibur publish limit origin releas excalibur publish limit publish game play airport ground crew simul',Simulation
'aim llama precis readi sniper start test skill success target various object collect coin use right card complet challeng level becom ultim sniper conquer leaderboard featur challeng level beauti effect particl come back everi hour collect reward compet player game centr haptic feedback optimis devic play right power card save tricki level simpl control tap aim free imessag sticker app includ',Simulation
'step shoe airport employe airport simul experi excit vari task field aircraft handl major intern airport take control high power aircraft tractor ice vehicl mani airport simul featur total five popular aircraft type differ vehicl offer huge rang differ task apron taxiway task need done come rain shine day night keep mind even slightest delay flight oper cost cold hard cash make sure plane refuel board also take care cater baggag cargo transport navig airplan park posit aid follow car get behind wheel shuttl bus transport passeng guid ground power unit requir posit prepar passeng stair truck jet bridg much weather start get cold skill ice snow remov put test airport simul also featur entir fleet vehicl vehicl reach limit improv various upgrad vehicl hangar way stay top ever grow demand time pressur aircraft oper unlock numer achiev use bit skill featur continu excit airport manag aircraft handl simul seri huge open world airport ground runway land strip vehicl hangar access tower total control vehicl machin includ shuttl bus passeng stair truck jet bridg pushback truck cater truck cargo loader cargo transport refuel ice vehicl ground power unit follow car three differ snowplow dynam mission system offer countless excit task apron taxiway total five differ type aircraft realist air road traffic includ aircraft takeoff land various achiev option upgrad vehicl machineri divers weather condit snow rain sunshin well day night cycl realist soundscap includ radio communic',Simulation
'uniti semi autobiograph tale feel like allerg intoler fair common food navig dinner parti restaur die home wasd uldr navig one even one self anyway get epipen reduc size lobster make swell bread made itchi cant realli cure itchi short benadryl alreadi toe copyright line there end ultim your swell hell besid abandon game your play hospit anyway dont nyancat dont realli know chose avatar also make money epipen consid use brand one updat eat bread still traumat time',Simulation
'aircraft land excit airplan game mobil land plane rang difficult situat avoid aeroplan emerg land disast pilot realist flight simul aircraft land make feel like real aircraft pilot face danger weather condit aircraft failur fli passeng safe home one object land safe easi play difficult master make maintain correct speed best angl ensur best land progress wide varieti difficulti level increas rank becom pro pilot weather condit rain fog strong wind turbul night land realist flight model physic base flight simul',Simulation
'almost hero rpg clicker game useless idiot embark quest slight less useless idiot say never give loser even chanc say differ nine deepli uniqu deepli flaw individu chosen great heroic nobl enlighten mani word spell set epic journey turn zero almost hero dead peopl like latter join zero quest becom hero ancient land train learn battl skill magic power end sword busi end aah find quest secret unlock there lot click yup clicker game near got take becom almost hero',Simulation
'alchemist turn cheaper stone expens one alchemist setback lose stone without turn expens one game must collect much money possibl make perfect thing set ordinari thing get two treasur thing rainbow stone premium status collect much possibl becom richest world',Simulation
'upon time world flat old stoic kept world whole kept magic hand mankind henc came pirat king found evil heart will share arcan knowledg legion side fought old stoic destroy world began fail game descript airship asund give command steampunk airship task build settlement seek fortun among ruin die land stand chao save remain precious flat earth torn asund captain vessel fli sky adventur establish new coloni build mighti empir search ancient relic use power magic spell battl evil forc quest defeat pirat king take game play visual inspir explor adventur classic game seven citi gold ultima civil intellivis utopia airship asund mix blend retro style graphic singl palett nod nostalg day adventur game key featur singl multiplay client server support onlin action time base gameplay uniqu blend action board game rogu like colon explor wild build surviv progress gain level collect relic command huge vessel procedur terrain game complet differ map mod support add encount remak experi easi local text file extern easili access',Simulation
'perfect normal world someon made airport catch airplan well question ask instead ask atent game develop version game made useless simul jam link implement yet sound polish play mous game complet play resourc airplan asset free bundl consctruct tile set',Simulation
