@relation Try

@attribute description string
@attribute genre {Sport,other}

@data
'hey beamngdriv fun dynam soft bodi physic vehicl multiplay simul capabl anyth',Sport
'footbal game frist game',Sport
'stori due misus resourc pay attent environment protect earth environ becom increas sever air also contamin human longer reli surviv outdoor activ must reli vehicl oxygen equip look necess life road becom focus grab law rule becom highway overlord surviv would done purpos gameth subscrib could oper differ kind vehicl differ combin skill arm forc vehiclesth subscrib wrest establish control block play direct key control vehicl crank forward direct key control vehicl crank backward direct key left control vehicl turn left direct key right control vehicl turn right special key perform special abil mous shoot select user interfaci button enter key click continu vehicl introduct one vehicl one uniqu special abil blue lightn thunder bolt spray turn put aburst speed shock wave push button could melt vehicl front even blue thunder let alon barricad push button shield put front hood vehicl could absorb mount damag base gurdian order ghost push button vehicl invis inherit manufactur rebel perenni live subterran beyond dark road convert land rover vibrat witnin certain rang around vehicl push button could make oppon control bumblebe could fix teammat vehicl push button weapon one vehicl could equip one weapon attack oppon machin gun high fire frenquenc mid rang low damg basic arm fulli abl cope singl target grenad mid fire frenquenc low rang mid damag although low rang grenad could effici aoe damag flame thrower fire rang low wide rang target group vehicl close give caus great harm mine set behind vehicl low fire frenquenc low rang high damag high effect consum power oppon cirular rang laser high rang high damag great damg oppon within linear rang nightmar game mode kill zone weapon random singl player player kill one kill within min winner screen style game adopt cartoon lego style freshbright atmospher main tone although vehicl collis cruel real lifeher game cute funni game make think back childhoodthat play carefre buddi come soon team devot creat vehiclesprop way play rack race last hard men show perform mode hot blood ball game come play ball game vehicl fight tittl road hog defend vehicl escort transport resourc safe arriv vehicl',Sport
'set beauti beach surround crash wave palm tree beach volleybal simpl fun touch tilt way glori choos one difficulti level choos male femal player choos touch acceleromet play ball motion realist shadow anim ocean wave vertic horizont play sit back watch self play mode listen music play fun sun beach volleybal develop resetgam',Sport
'axi footbal back load upgrad improv new axi footbal massiv improv perform framer smooth gameplay complet posit coach staff includ scout posit coach coordin detail coach badg system indepth scout system recruit new player customiz practic strategi system help shape develop player facil manag financi report team moral offici licens soundtrack doubl size defens playbook redesign draft system featur team guid draft summari abil trade draft pick complet game summari everi game play streamlin player contract abil spectat playoff game new stadium pregam coin toss new player coach portrait clock manag play spike kneel game mode player coach mode spectat mode local player player franchis mode game featur ingam uniform player team editor team styliz playbook featur play format hot rout audibl coach strategi shift aim tradit icon pass juke spin dive load player move franchis mode featur player contract trade injuri practic squad free agenc retir player week year award dynam tier leagu structur playoff promot releg unlimit season week season player progress base perform age potenti playtim end season draft seasonlong team stat individu leagu leader stat franchis stat depth chart control play coach spectat simul match leagu team schedul viewer spectat match',Sport
'badblood dead game hide seek badblood local split screen hide seek two player dead consequ veng charact person manhunt must use stealth spatial awar disorient find kill oppon find find uniqu style murder intim viscer local multiplay outwit neighbor use stealth spatial awar disorient bloodi field differ bloodi perspect hide seek kill violent stealth game two inspir thrill playground classic hide seek grid base discret style movement combat badblood dare screen cheat rememb north oppon north disori manipul ambush cool mechan render vulner wrong predict oppon locat one hit kill fight game anyon win care underestim oppon veng charact game chang abil choos hunter mechan kid hitwoman endless play kill field handcraft random generat mode play good old fashion find kill hunt season learn join mail list websit twitter presskit',Sport
'easi move shoot block shot dunk peopl nasti cross over step back build team custom look compet live event challeng friend local two player split screen work great offlin claim team late',Sport
'ball compet onlin sport oppon race soccer race soccer basketbal hockey handbal battl royal alreadi play player featur sport race soccer race soccer basketbal hockey handbal battl royal game mode stadium control multiplay realist physic shirt custom replay statist train bot custom celebr',Sport
'everi year best flail fighter around globe gather tan seclud tropic island battl one true flail master victori tame unpredict power flail also battl friend devic pleas dont practic flail techniqu live room next mother ornament',Sport
'control space bat power use mous screen game origin releas mobil platform updat ill make updat make enjoy peopl get opprtun play complet free like make sure check latest project kickstart right baseballout retro inspir game beat baseballout leagu home strongest pitcher world becom roger william help obtain power abil unlock secret boss prove best tri get top final defeat undef champ leagu featur defeat sixteen rival two difficulti levelsunlock differ outfit differ abil collect twenti card inform charact item',Sport
