@relation Try

@attribute description string
@attribute genre {Sports,other}

@data
' unlock full version blaze bird challeng sixti comput control oppon three level difficulti invit friend play multiplay match tournament twenti player earn achiev establish right place leaderboard best face signum refund item inform see www xbox com live account ',Sports
' hit gridiron test footbal skill hard hit new footbal game game natur motion game choos play full exhibit mode take challeng tackl alley build skill rang train exercis train camp ',Sports
' air hockey defens game creat game maker toolkit game jam theme one input joystick recommend movement arrow key analog stick left shift joystick button boost instruct think tower defens game hit enemi ball let anyon stand insid area one second rule appli ',Sports
' enter arena face soccer ball fierc battl show biggest ball battl arena ',Sports
' embrac competit spirit world prestigi sport event repres countri compet highest honor gold game deliv far entertain immers olymp experi superior graphic captur fine emot detail event fraction second mean differ win lose brand new gameplay mechan challeng time speed coordin strive break record alon seven friend onlin lead team victori authent olymp event featur offici event repres countri choic compet honor ten olymp sport includ track field aquat gymnast cycl judo tabl tenni cano kayak depth career competit mode organ daili schedul custom chosen team agil power stamina speed competit event across durat olymp game competit mode particip three friend either singl multi event challeng offlin innov game play mechan use varieti control across event includ time base system power time angl essenti rhythm base play requir skill increas maintain speed target system assist aim global onlin competit choos countri face challeng nation multitud onlin featur exhibit event leaderboard allow player prove world ',Sports
' front offic footbal text base sport simul game love number sport front offic footbal play role favorit team general manag determin team futur trade oppon negoti contract bid free agent discov new talent annual amateur draft also play role armchair coach set game plan creat playbook depth chart call everi play like determin ticket price submit stadium construct plan public approv move team public proper support franchis front offic footbal eight includ multi player career mode full ftp support allow compet leagu enthusiast general manag multi player mode run independ steam requir commission manag web site origin game releas receiv editor choic award comput game world star review nomin numer sport game year award eighth full version put front offic order succeed front offic footbal need perform well possibl four differ area team perform field primari goal win covet front offic bowl fan player staff want see championship banner rais new posit ring honor surround stadium financi perform field team need show profit owner becom angri threaten job need control salari staff cost balanc need spend money build upgrad stadium risk face stagnant ticket revenu age arena roster valu need negoti contract sign free agent make wise decis amateur draft outsmart oppos general manag trade build strong capabl roster mean everyth front offic footbal franchis valu bottom line happi owner franchis envi profession footbal noth mean owner see franchis top list valuabl franchis help put team list excel three categori best general manag look opportun move team order find home town strong economi support team like none major featur front offic footbal game concentr roster manag career play sever key element emphas game design realist trade modul simpli take player want team proper age player player differ posit age differ quarterback need coupl year reach prime career last sever year longer averag run back amateur draft team realist assess need build draft statist major stat track avail given time career full season season statist track differ categori includ red zone third number view sort statist team categori posit fast accur front offic footbal also track display differ team statist leagu total play call design allow quick select larg librari player ultim wrest control play play action coach tailor game strategi team strength without build play scratch free agenc team compet sign best free agent player idea much want stay exist team much want play champion money still root decis home town player home town near american citi decid team free agenc player may prefer team closer home offens playbook season creat playbook full offens play team use season depth chart set everi personnel group team offens defens front offic footbal simul game base chart game plan game plan allow specifi differ strategi depend score game much time remain creat script play use base distanc field posit defens select play base situat offens show micro manag everi decis leav everyth coach staff player rate player rate differ skill access raw number fun hire coach staff vari strength weak coach tell good think player good think oppon player salari cap essenti tool keep pariti among profession footbal roster cut age high paid veteran like ruthless general manag worth weight negoti citi profil submit plan build new stadium voter turn propos move citi model game citi rate sever econom criteria affect desir new team team chemistri player perform better wors instanc depend feel player group dynam quarterback learn process quarterback learn game access play game allow smarter signal caller better confus oppon record keep team statist track manag entir career team record includ time perform everi team kept game game perform breakdown alway avail individu player power rate see team rank use solecism softwar custom power rank rate use set point spread game enhanc replay valu everi time start new career core rate player random affect veteran random chang small establish star alway signific player rooki howev perform vari signific allow challeng game greater replay valu multi player leagu support choos commission run game leagu commission simul game process everi team instruct set stage game peopl compet multi player leagu new version eight play front offic footbal past dozen new featur game ambiti new product date find much realist profession footbal experi custom offens playbook year train camp creat book offens play use season cours manag featur front offic footbal game creat playbook specif team like new player particip chart select starter base personnel group give much control field everi situat realist game plan rather fill extens chart write script play team run everi situat creat list play use two minut drill save best play critic third three situat much closer profession team handl game play call defens plan cover react oppon fewer choic make choic big impact perform instant histori least histori creat quick comput run press button generat season histori leagu run everi team enhanc multi player support fuller set option maintain multi player game addit secur featur prevent hack stage file file compress shorten load time reduc ftp space need run game new player card quick access inform avail athlet creat graph show mani win franchis time period leagu highlight potenti dynasti playoff probabl simul late season determin team chanc reach playoff gain first round bye brand new menu interfac front offic footbal never prettiest game world new menu quick get place game interfac improv switch use various screen within game even take advantag multipl monitor sort vari inform avail front offic footbal alway display much inform possibl quot day everi day read quot vast store collect wisdom within front offic footbal univers extens improv fine tune within game engin littl left untouch heart front offic footbal play result simul thousand thousand game player file coach file thank take look front offic footbal eight ',Sports
' immers emot intens world greatest sport fifa road fifa world cup true life atmospher depth onlin mode experi intern footbal like never ',Sports
' control space bat power use mous screen game origin releas mobil platform updat make updat make enjoy peopl get opprtun play complet free like make sure check latest project kickstart right baseballout retro inspir game beat baseballout leagu home strongest pitcher world becom roger william help obtain power abil unlock secret boss prove best tri get top final defeat undef champ leagu featur defeat sixteen rival two difficulti levelsunlock differ outfit differ abil collect twenti card inform charact item ',Sports
' app sale get one last thank play enjoy app purchas internet connect need play earli access sale price figur ball movement score creat develop heart good luck enjoy tilt jump drop ball along get score beat friend trump ball arriv play fantast addict game get hour fun alway free iap crippl game play game twitter com reddstudiosapp instagram com reddstudiosapp mail reddstudio outlook com ',Sports
' antigravi demo version avail itch full version releas steam year race evolv far beyond expect limit new terraform capabl pair scientif breakthrough field antigrav given birth new spectacl antigravi intergalact tournament race perpetu exquisit detail stage full light speed danger chao mayhem guid grav three gameplay mode across four differ world three track dynam cours come life push power uniti limit challeng friend fierc competit multiplay mode either onlin split screen mode race top worldwid leaderboard earn special rank skin split screen gameplay sabotag fellow racer activ hover mine creat rockslid caus tunnel collaps fire missil rocket launcher along track mani malici trick custom grav heart content choos wise decid one upgrad may mean compromis anoth strateg tailor make grav gain upper hand race face crush prospect defeat addit custom option unlock skin avail free charg futurist high octan race game defi graviti least concern full game key featur speed limit play singl player campaign unlock new part ship skinsrac friend local split screen multiplay playerschalleng anybodi onlin multiplay mode rank leaderboardsus environment trap overtak opponentspow boost allow becom top leaderboardship custom give edg oppositionbeauti creat sci world three dynam cours stun realist graphic power unitysoundtrack featur intens track enhanc race experi ',Sports
' race around world start crank gas super dirt bike race top hurdl world race long rout sever terrain mani oppon race downtown san francisco mountain northern itali way back bright chose rout race ',Sports
' android goalkepp game tri save mani goal ',Sports
' onlin interact rate esrb sport freestyl welcom fast pace world arcad hockey team brought nhl come experi throw convent hockey rule window choos nhl top player bring rule hockey game big hit rule day trial mode give tast great nhl arcad get full bite download full version today full version offer powerup onlin game mode leaderboard achiev download full version today inc right reserv trademark properti respect owner regist onlin may retir onlin featur day notic post www com day last day nhl season refund item inform see www xbox com live account ',Sports
' pre order sport ufc standard edit today instant receiv choic one loaner champion edit fighter move five fight ufc ultim team five premium pack ufc point help build ultim team roster theme sport ufc revolution fight movement real player motion tech deliv authent athlet motion visual sport game new career mode choic outsid octagon matter much perform insid octagon hype fight creat heat rivalri road becom greatest time remot play requir vita system suffici robust connect onlin featur requir account subject term servic applic privaci polici playstationnetwork com term servic playstationnetwork com privaci polici player network player full game requir playstat plus membership access onlin multiplay minimum save size dualshock remot play onlin play option softwar subject licens playstat com softwarelicens onlin featur requir account subject term servic applic privaci polici playstationnetwork com term servic playstationnetwork com privaci polici one time licens fee play account design primari system system sign account condit restrict appli see detail ',Sports
' best best mission take roug agent arm sniper rifl gatl gun assault rifl must surviv wave attack forc take featur realist graphic explos multipl gun multipl level non stop action ',Sports
' experi fastest racket sport world fingertip hyper realist physic qualiti graphic slick real sound effect make come back grab badminton racket take swing hit smash play fun badminton game use finger swipe smash button put extra speed bird select three differ level play ',Sports
' take street angri gran run angri gran lock away angri asylum plot escap need guid street bust run jump slide around ton differ wacki obstacl crazi new run game punk back bash way grab coin clear street chang look buy new costum includ hippi gran wonder gran even penguin costum forget templ jungl subway station citi new york rome await buy upgrad load differ power like bullet time invinc shield watch alien dinosaur insan stuff ',Sports
' arm best club import point set desert snow wind caprici addict becom new tiger wood golf reliv moment fun arcad make hole minimum shot score highest score thwart forc wind make alli reach hole quick possibl golf relax music focus goal score point ',Sports
' drive mini golf unlik combin hole cours kenney fill asset hold spacebar charg hit aim key tri get par better cours hope fun ',Sports
' doubl play local two player basebal game one player pitch one player hit fielder take care rest play complet game take turn hit pitch standard rule basebal play ball strike foul home run multipl skill level preset allow peopl differ age skill play togeth batter fulli immers within headset take bat player pitch well tune physic make hit realist control also approach swing fenc pitcher watch batter monitor throw toward home plate use one touch control control ball goe get throw fastbal curvebal sinker pitch insid strike zone whatev make batter miss key featur two player local play complet standard basebal rule well tune hit field physic fun variabl easi control pitch fielder multipl skill level post game stat ',Sports
' game best like basketbal speed car wit mobil game never seen right basketbal play drift car astonish game far differ basketbal game although aim game most score basket like basketbal game charact game basketbal player car remov peopl game put drift car place player keep excit maximum wait put mine missil car also made chang rule gave one ball put traffic cone locat spectat ground hit car hope love basketbal game style wish spend good time game mode game practic stori arcad game mode consist mani packag sub level addit mani car truck choos race cours need make money game access car hope made good game graphic sound user friend control strang game logic expect star rate encourag improv game develop game say download play experi ',Sports
