@relation Try

@attribute description string
@attribute genre {Strategy,other}

@data
' first baldi mod stori game warn spooki ',Strategy
' creat airport dream citi build simul assembl fleet cool plane privat jet transcontinent airplan bring back rare artifact flight complet collect take part limit time adventur get special reward team friend form allianc play togeth alway fun send mission space take control sky true tycoon know limit take rein power turn small town prosper megalopoli best airport world creat one busiest transport hub ever construct infrastructur air traffic control tower runway hangar assembl fleet plane send flight around world watch town blossom great citi improv upgrad uniqu build attract addit passeng connect airport distant locat globe media review modojo com airport citi definit keep entertain pocketgam logist put work airport togeth vip auto renew subscript info airport citi come option buy vip subscript day trial vip subscript avail unus portion free trial period forfeit user purchas subscript payment charg itun account confirm purchas subscript automat renew unless auto renew turn least hour end current period account charg renew within hour prior end current period subscript price option previous select manag subscript turn auto renew account set purchas also button game take set cancel subscript activ refund remain activ period subscript link privaci polici term use privaci polici term use ',Strategy
' archipelago fun game pirat adventur head pirat team discov archipelago island search treasur captur golden chest defeat colonist nativ ',Strategy
' seiz power build empir fuzzi cellular automata monster inspir conway game life automata empir challeng herd hundr mindless automata subject smash rival castl steal territori loyal subject lack individu intellig sacrific build chain tavern road impos order chao readi invad build high veloc catapult launch minion direct battl balanc expans consolid care grow empir enemi territori gain domin toroid clever engin feedback loop surpris oppon overwhelm forc five gameplay mode siegecraft lay sieg foreign stronghold surround castl maze defens migrat battl last habit land flee unstopp hord undead captur banner sneak troop enemi base steal flag herd back base harder look king plateau secur sovereign right territori flood mani subject possibl waaaaar wage plain old deathmatch warfaresingleplay onlin multiplayerbattl friend game mode practic foreign diplomaci forg allianc conveni forget inconveni time short satisfi matchesth averag match design last minut turn lightn mode play game speed autoplayyou prefer watch let battl ',Strategy
' enjoy lightheart god sim pocket gamer sheer wealth gameplay alon make invest well worth get rais hell heaven app com polish solid graphic uniqu game mechan import downright fun game play game illustr step sacr sandal great almighti angri deiti hurl bolt holi lightn summon punish earthquak unleash veng flood upon foolish irrever human prevent build tower babel destroy defiant idol human vaniti prevent human build tower babel various time histori featur excit mission singl player campaign improv god stamina surviv mode god rise challeng express wrath insol worker led strengthen protect priest shield worker spell sacr urn porter slow power sieg tower help human access upper level faster cargo ship bring stone yard control element access twice mani power origin game discov ultim element attack base fire water earth air uniqu effect depend target roll stone sirocco meteorit shower mani expand experi gain excel perform app purchas collect babel currenc use buy scroll passiv power level improv skill game experi ',Strategy
' sky limit anymor join forc famous scientist make skytopia vision come life pursu dream float citi sky time play part new industri revolut cloud produc good fabric product trade valuabl artifact build factori store well prestigi build decor sky citi stun decor use profit upgrad expand citi sky becom success entrepreneur cloud master excit quest challeng auspic scienc meet famous scientist nikola tesla mari curi even young albert einstein follow footstep inspir greatest achiev meet entrepreneur world surround smart wealthi found corpor share busi strategi grow big fortun success lead celebr entertain activ discov excit event mission organ great parad celebr latest invent bet next human achiev enjoy wild west show readi entertain featur build sky citi plenti build decor produc good trade valuabl product manag realist product cycl meet nikola tesla mari curi famous histor figur master excit quest help scienc join communiti meet entrepreneur worldwid play part sky fortun wait let get start play big compani skytopia free term servic privaci polici imprint app complet free play addit offer option app purchas may disabl app purchas use devic set game requir internet connect ',Strategy
' welcom fastplay wargam new kind strategi game experi battleplan american civil war excit top real time turn base hybrid strategi game take command either confeder union troop fight way ten american civil war famous battl experi excit satisfact ordin plan see revis dynam achiev victori oppon sever strategi employ pure strategi experi battleplan american civil war gameplay focus sole battl manag thing worri best send troop best keep suppli short demand battl ideal brief journey take littl ten minut play play union confeder campaign one battl three difficulti set histor faith simul larg scale battl division brigad level factor weather reinforc random reinforc paus mode greater challeng uniqu automat high level command battl mechan manag messeng line communic histor accur corp command person build pontoon earthwork ammunit suppli manag new chang pace battl suit style patch speed slider option learn control armi think strateg unfold complex attack face cun enemi deal ever chang battlefield experi excit satisfact ordin plan see revis dynam achiev victori oppon capabl surpris unorthodox plan ',Strategy
' number enemi wave made less hour bug ',Strategy
' challeng becom puzzl master simpl grid color tile tap color want remov tap adjac color path clear color tile two attempt remov must remov first challeng level differ game mode casual pressur chang frantic mode await deliv level frustrat enjoy gameplay casual mode earn star complet level fast finger point calcul accord speed pressur mode second heat timer count pair color tile clear clear pair counter reset bewar eye may begin betray start drift toward check remain digit timer becom distract diffus tick time bomb quick wit strong situat awar save chang mode earn star complet level fast finger point calcul accord speed time twist color tile chang random interv increas difficulti think found match tile disappear right eye frantic mode combin pressur chang game mode countdown match timer color tile chang random interv cours coupl extra second clock help mwahaha earn way gold star solv maze eye strain color sweat bead forehead grit teeth squint eye prepar featur level game mode level total game play casual pressur chang frantic game mode ',Strategy
' oper take role emerg dispatch rapid deal incom report task pick call also react appropri situat sometim give first aid instruct enough time polic fire depart paramed intervent necess keep mind person side line might turn die daughter father unpredict terrorist prankster handl play citi world check thousand citi around world free play mode let choos citi play game download map along real street address emerg infrastructur also tri career mode contain citi uniqu event surviv earthquak san francisco save washington bomb attack manag team number polic fire depart paramed unit dispos forc may use varieti vehicl common ambul polic helicopt essenti equip bulletproof vest first aid kit technic tool consist team member differ abil peopl live hand main featur record dialogu inspir real call serious dramat sometim also funni annoy real first aid instruct opportun play citi world select citi career mode featur uniqu call event type report encount type emerg vehicl includ helicopt polic car motorcycl game requir internet connect download free map offlin game avail download map map data openstreetmap author term citi use within mean openstreetmap servic relat urban area describ citi town therein ',Strategy
